Source File,Tactic,Level,Parent Technique ID,Technique ID,Technique Name,Description
harden.js,Harden,Technique,,AID-H-022,AI Agent Configuration Integrity & Hardening,"This technique establishes and enforces the integrity and security of an AI agent's instructional configurations (e.g., system prompts, operational parameters, external configuration files like `CLAUDE.md`). It employs a defense-in-depth strategy, combining client-side controls to prevent the creation of insecure configurations in development environments with cryptographic verification at runtime to ensure the agent only operates based on a trusted, untampered directive. **Crucially, this technique mandates the use of structured, non-executable formats (e.g., schema-validated JSON, YAML) for configurations, prohibiting the use of formats that could be interpreted as executable code.** This directly counters attacks where adversaries manipulate an agent's behavior by injecting malicious instructions through external or modified configuration files."
harden.js,Harden,SubTechnique,AID-H-002,AID-H-002.001,Training & Fine-Tuning Data Sanitization,"Focuses on detecting and removing poisoned samples, unwanted biases, or sensitive data from datasets before they are used for model training or fine-tuning. This pre-processing step is critical for preventing the model from learning vulnerabilities or undesirable behaviors from the outset."
harden.js,Harden,SubTechnique,AID-H-002,AID-H-002.002,Inference-Time Prompt & Input Validation,"Focuses on real-time defense against malicious inputs at the point of inference, such as prompt injection, jailbreaking attempts, or other input-based evasions. This technique acts as a guardrail for the live, operational model."
harden.js,Harden,SubTechnique,AID-H-002,AID-H-002.003,Multimodal Input Sanitization,"Focuses on the unique challenges of validating and sanitizing non-textual inputs like images, audio, and video before they are processed by a model. This includes implementing defensive transformations to remove adversarial perturbations, stripping potentially malicious metadata, and ensuring consistency across modalities to prevent cross-modal attacks."
harden.js,Harden,SubTechnique,AID-H-003,AID-H-003.001,Software Dependency & Package Security,"Ensure integrity of all third-party code and libraries (Python packages, containers, build tools) used to develop and serve AI workloads."
harden.js,Harden,SubTechnique,AID-H-003,AID-H-003.002,Model Artifact Verification & Secure Distribution,"Mandatory, automated acceptance criteria applied to a model artifact before promotion to production. Acts as a final security gate to ensure only trusted, verified, and safely configured models are deployed by validating their origin, integrity, provenance, and operational policies. This control assumes production never trusts public names directly; only immutable, attested bytes from an internal mirror are allowed."
harden.js,Harden,SubTechnique,AID-H-003,AID-H-003.003,Dataset Supply Chain Validation,"Authenticate, checksum and licence-check every external dataset (training, fine-tuning, RAG)."
harden.js,Harden,SubTechnique,AID-H-003,AID-H-003.004,Hardware & Firmware Integrity Assurance,"Verify accelerator cards, firmware and BIOS/UEFI images are genuine and un-modified before joining an AI cluster."
harden.js,Harden,SubTechnique,AID-H-003,AID-H-003.005,Infrastructure as Code (IaC) Security Scanning for AI Systems,"Covers the 'pre-deployment' phase of automatically scanning Infrastructure as Code (IaC) files (e.g., Terraform, CloudFormation, Kubernetes YAML) in the CI/CD pipeline. This 'shift-left' security practice aims to detect and block security misconfigurations, such as insecure network paths that could undermine model supply chain security, before infrastructure is provisioned."
harden.js,Harden,SubTechnique,AID-H-003,AID-H-003.006,Model SBOM & Provenance Attestation,"Produce a model-centric SBOM that inventories model bytes (files, hashes), tokenizer, config, format, and loader code commit; bind it to the exact artifact digest via in-toto/SLSA attestation signed with Sigstore. Verify the attestation and digest binding at admission and re-verify hashes at runtime before loading. This creates a tamper-evident content contract for the model, closing name/namespace trust gaps."
harden.js,Harden,SubTechnique,AID-H-004,AID-H-004.001,User & Privileged Access Management,"Focuses on securing access for human users, such as developers, data scientists, and system administrators, who manage and interact with AI systems. The goal is to enforce strong authentication and granular permissions for human identities."
harden.js,Harden,SubTechnique,AID-H-004,AID-H-004.002,Service & API Authentication,"Focuses on securing machine-to-machine communication for AI services. This includes authenticating service accounts, applications, and other services that need to interact with AI model APIs, data stores, or MLOps pipelines."
harden.js,Harden,SubTechnique,AID-H-004,AID-H-004.003,Secure Agent-to-Agent Communication,"Focuses on the unique challenge of securing communications within multi-agent systems. This ensures that autonomous agents can trust each other, and that their messages cannot be spoofed, tampered with, or replayed by an adversary."
harden.js,Harden,SubTechnique,AID-H-005,AID-H-005.001,Differential Privacy for AI,"Implements differential privacy mechanisms to add calibrated noise to model training, outputs, or data queries, ensuring that individual data points cannot be identified while maintaining overall utility."
harden.js,Harden,SubTechnique,AID-H-005,AID-H-005.002,Homomorphic Encryption for AI,"Enables computation on encrypted data, allowing models to train or perform inference without ever decrypting sensitive information, providing strong cryptographic guarantees."
harden.js,Harden,SubTechnique,AID-H-005,AID-H-005.003,Adaptive Data Augmentation for Membership Inference Defense,"Employs adaptive data augmentation techniques, such as 'mixup', during the model training process to harden it against membership inference attacks (MIAs). Mixup creates new training samples by linearly interpolating between existing samples and their labels. The 'adaptive' component involves dynamically adjusting the mixup strategy during training, which enhances the model's generalization and makes it more difficult for an attacker to determine if a specific data point was part of the training set."
harden.js,Harden,SubTechnique,AID-H-005,AID-H-005.004,LLM Training Data Deduplication,"A data-centric hardening technique that involves systematically removing duplicate or near-duplicate sequences from the training datasets for Large Language Models (LLMs). This pre-processing step directly mitigates the risk of unintended memorization, where LLMs are prone to learn and regenerate specific training examples verbatim, which can lead to the leakage of sensitive or copyrighted information."
harden.js,Harden,SubTechnique,AID-H-006,AID-H-006.001,Structured Output Enforcement,"Forces LLMs to generate output that conforms to a strict, pre-defined schema (e.g., JSON, YAML) instead of free-form text. This ensures the output can be safely parsed and validated by downstream systems, preventing the generation of unintended or malicious scripts, formats, or commands."
harden.js,Harden,SubTechnique,AID-H-006,AID-H-006.002,Output Content Sanitization & Validation,"Applies security checks and sanitization to the content generated by an AI model before it is displayed to a user or passed to a downstream system. This involves escaping output to prevent injection attacks (e.g., Cross-Site Scripting, Shell Injection) and validating specific content types, such as URLs, against blocklists or safety APIs to prevent users from being directed to malicious websites."
harden.js,Harden,SubTechnique,AID-H-006,AID-H-006.003,Passive AI Output Obfuscation,"A hardening technique that intentionally reduces the precision or fidelity of an AI model's output before it is returned to an end-user or downstream system. This proactive control aims to significantly increase the difficulty of model extraction, inversion, and membership inference attacks, which often rely on precise output values (like confidence scores or logits) to reverse-engineer the model or its training data. By returning less information—such as binned confidence scores, rounded numerical predictions, or only the top predicted class—the utility for legitimate users is maintained while the value of the output for an attacker is drastically reduced."
harden.js,Harden,SubTechnique,AID-H-007,AID-H-007.001,Secure Training Environment Provisioning,"This sub-technique focuses on the infrastructure layer of AI security. It covers the creation of dedicated, isolated, and hardened environments for training jobs using Infrastructure as Code (IaC), least-privilege IAM roles, and, where necessary, confidential computing. The goal is to build a secure foundation for the training process, protecting it from both internal and external threats, and ensuring the confidentiality and integrity of the data and model being processed."
harden.js,Harden,SubTechnique,AID-H-007,AID-H-007.002,Runtime Training Job Monitoring & Auditing,"Focuses on instrumenting the training script itself to continuously monitor for behavioral anomalies and to create a detailed, immutable audit log. This involves real-time tracking of key training metrics (e.g., loss, gradient norms) to detect signs of instability or poisoning, and systematically logging all parameters, code versions, and data versions to ensure any training run is fully auditable and reproducible."
harden.js,Harden,SubTechnique,AID-H-007,AID-H-007.003,Training Process Reproducibility,"This sub-technique focuses on the governance and versioning aspect of securing the training process. It covers the strict version control of all inputs to a training job—including source code, configuration files, dependencies, the dataset, and the container image—to ensure any run can be perfectly and verifiably reproduced. This is critical for auditing, debugging incidents, and ensuring the integrity of the model's entire lifecycle."
harden.js,Harden,SubTechnique,AID-H-008,AID-H-008.001,Secure Aggregation Protocols for Federated Learning,"Employs cryptographic methods in Federated Learning (FL) to protect the privacy of individual client contributions, such as model updates or gradients. These protocols are designed so the central server can compute the aggregate (sum or average) of all client updates but cannot inspect or reverse-engineer any individual contribution. This hardens the FL process against inference attacks by the server and preserves user privacy in collaborative learning environments."
harden.js,Harden,SubTechnique,AID-H-008,AID-H-008.002,Byzantine-Robust Aggregation Rules,"A class of statistical, non-cryptographic aggregation methods designed to protect the integrity of the global model in Federated Learning. These rules identify and mitigate the impact of outlier or malicious model updates from compromised clients (Byzantine actors) by using functions like median, trimmed mean, or distance-based scoring (e.g., Krum) to filter out or down-weight anomalous contributions before they can corrupt the final aggregated model."
harden.js,Harden,SubTechnique,AID-H-009,AID-H-009.001,Hardware Root of Trust & Secure Boot,"This sub-technique focuses on ensuring that the hardware and its boot-level software start in a known, trusted state. It covers the implementation and verification of Secure Boot chains for servers equipped with AI accelerators. This process establishes a chain of trust from an immutable hardware root, ensuring that every piece of software loaded during startup—from the UEFI firmware to the bootloader and operating system kernel—is cryptographically signed and verified, preventing boot-level malware."
harden.js,Harden,SubTechnique,AID-H-009,AID-H-009.002,Accelerator Firmware & Driver Patch Management,"This sub-technique covers the operational lifecycle management for the software that runs directly on the AI hardware. It includes processes for monitoring for vulnerabilities in firmware and drivers for GPUs, TPUs, and other accelerators, and applying security patches in a timely, controlled manner to prevent exploitation of known vulnerabilities."
harden.js,Harden,SubTechnique,AID-H-009,AID-H-009.003,Hardware Supply Chain Security,"This sub-technique focuses on the procurement and sourcing of AI hardware. It covers vetting suppliers, verifying the authenticity of components, and contractually requiring features like side-channel attack resistance. The goal is to mitigate the risk of acquiring counterfeit, tampered, or inherently vulnerable hardware components that could be used to compromise AI systems."
harden.js,Harden,SubTechnique,AID-H-009,AID-H-009.004,Accelerator Isolation & VRAM/KV-Cache Hygiene,"In shared compute environments, prevent data leakage across GPU jobs by clearing VRAM/KV-cache after tasks, partitioning accelerators, and staying patched against known issues (e.g., LeftoverLocals)."
harden.js,Harden,SubTechnique,AID-H-009,AID-H-009.005,Confidential Inference & Remote Attestation,"Run inference in TEEs or confidential VMs to protect model weights, inputs, and KV-cache in encrypted memory. Verify enclave integrity via remote attestation before sending sensitive assets."
harden.js,Harden,SubTechnique,AID-H-012,AID-H-012.001,Graph Data Sanitization & Provenance,"This sub-technique covers the data-centric defenses performed on a graph before training. It focuses on analyzing the graph's structure to identify and remove anomalous nodes or edges, and on incorporating provenance information (e.g., trust scores based on data sources) to down-weight the influence of less trusted parts of the graph during model training."
harden.js,Harden,SubTechnique,AID-H-012,AID-H-012.002,Robust GNN Training & Architecture,"This sub-technique covers the model-centric defenses against GNN poisoning. It focuses on modifying the GNN's architecture (e.g., using robust aggregation functions) and the training process (e.g., applying regularization) to make the model itself inherently more resilient to the effects of malicious data or structural perturbations."
harden.js,Harden,SubTechnique,AID-H-012,AID-H-012.003,Certified GNN Robustness,"This sub-technique covers the advanced, formal verification approach to defending Graph Neural Networks (GNNs). It provides a mathematical guarantee that a model's prediction for a specific node will remain unchanged even if an attacker adds or removes up to a certain number of edges in the graph. This 'certified radius' of robustness represents a distinct, high-assurance implementation path against structural poisoning attacks."
harden.js,Harden,SubTechnique,AID-H-013,AID-H-013.001,Robust Reward Function Engineering,"This subtechnique covers the direct design and engineering of the reward function itself to be inherently less exploitable. By defining multiple, sometimes competing, objectives and explicitly penalizing undesirable side effects, the reward function provides a more holistic and robust incentive structure that is harder for an agent to 'game' or hack."
harden.js,Harden,SubTechnique,AID-H-013,AID-H-013.002,Human-in-the-Loop Reward Learning,"This subtechnique covers methods for deriving robust reward functions from human feedback, rather than hand-crafting them. This includes techniques like preference-based learning and Inverse Reinforcement Learning (IRL) where the model learns the reward function from expert demonstrations. This is particularly useful for complex behaviors that are difficult to specify with a mathematical formula but are intuitive for a human to judge."
harden.js,Harden,SubTechnique,AID-H-013,AID-H-013.003,Potential-Based Reward Shaping,"This subtechnique covers the provably safe method of adding dense, intermediate rewards to guide an agent towards a goal without changing the optimal policy. It helps speed up learning in environments with sparse rewards and can guide the agent away from unsafe states, effectively hardening the learning process against some forms of reward hacking by making the intended path clearer."
harden.js,Harden,SubTechnique,AID-H-014,AID-H-014.001,Digital Content & Data Watermarking,"This subtechnique covers the methods for embedding robust, imperceptible signals into various data types (including images, audio, video, text, and code) for the purposes of tracing provenance, detecting misuse, or identifying AI-generated content. The watermark is designed to be resilient to common transformations, allowing an owner to prove that a piece of content originated from their system even after it has been distributed or modified."
harden.js,Harden,SubTechnique,AID-H-014,AID-H-014.002,Adversarial Data Cloaking,"This subtechnique covers the approach of adding small, targeted, and often imperceptible perturbations to source data. Unlike watermarking, which aims for a signal to be robustly detected, cloaking aims to disrupt or 'cloak' the data from being effectively used by specific downstream AI models. This is a proactive defense to sabotage the utility of stolen data for malicious purposes like deepfake generation or unauthorized model training."
harden.js,Harden,SubTechnique,AID-H-019,AID-H-019.001,Tool Parameter Constraint & Schema Validation,"Define strict, machine-readable schemas for each agent tool's input parameters and enforce validation before execution (types, formats, ranges, enums). Prevents malicious parameter injection (command/SQL injection, path traversal)."
harden.js,Harden,SubTechnique,AID-H-019,AID-H-019.002,Policy-Based Access Control,"Externalize authorization decisions for tool usage with a policy engine (e.g., OPA), enabling context-aware, stateful rules that decouple policy from application code."
harden.js,Harden,SubTechnique,AID-H-020,AID-H-020.001,URL Normalization & Allowlist Filtering,"Create a safe HTTP wrapper that normalizes URLs, enforces scheme/domain allowlists, resolves DNS and blocks private/internal IP ranges to prevent SSRF."
harden.js,Harden,SubTechnique,AID-H-020,AID-H-020.002,Secure HTML Rendering & Content Demotion,"Strip scripts, styles, iframes, and active content; extract plain text before passing to LLM to mitigate stored XSS and indirect prompt injection."
harden.js,Harden,SubTechnique,AID-H-021,AID-H-021.001,Chunk-Level Integrity Signing,Compute and store a cryptographic hash or digital signature per chunk at ingestion; verify on retrieval to detect tampering.
harden.js,Harden,SubTechnique,AID-H-021,AID-H-021.002,Source Reputation Weighting,Assign and store per-chunk reputation scores based on source trust. Re-rank retrievals by combining similarity and reputation to bias toward trusted sources.
harden.js,Harden,SubTechnique,AID-H-022,AID-H-022.001,Client-Side Configuration Enforcement,"Proactively prevents the creation and use of insecure AI agent configurations on developer endpoints. This is a 'shift-left' defense that uses endpoint security tools, policy-as-code scanners, and local development guardrails to block high-risk settings before they can ever be committed to source control or executed."
harden.js,Harden,SubTechnique,AID-H-022,AID-H-022.002,Runtime Integrity Verification,"Ensures that an AI agent, at the moment of execution, loads and operates on a configuration that is cryptographically verified to be authentic and untampered. This is a critical runtime check that serves as a final guardrail, protecting the agent even if client-side or repository controls fail. It forms a verifiable trust chain from the secure build pipeline to the running agent."
isolate.js,Isolate,Technique,,AID-I-001,AI Execution Sandboxing & Runtime Isolation,"Execute AI models, autonomous agents, or individual AI tools and plugins within isolated environments such as sandboxes, containers, or microVMs. These environments must be configured with strict limits on resources, permissions, and network connectivity. The primary goal is that if an AI component is compromised or behaves maliciously, the impact is confined to the isolated sandbox, preventing harm to the host system or lateral movement."
isolate.js,Isolate,Technique,,AID-I-002,Network Segmentation & Isolation for AI Systems,"Implement network segmentation and microsegmentation strategies to isolate AI systems and their components (e.g., training environments, model serving endpoints, data stores, agent control planes) from general corporate networks and other critical IT/OT systems. This involves enforcing strict communication rules through firewalls, proxies, and network policies to limit an attacker's ability to pivot from a compromised AI component to other parts of the network, or to exfiltrate data to unauthorized destinations. This technique reduces the \""blast radius\"" of a security incident involving an AI system."
isolate.js,Isolate,Technique,,AID-I-003,Quarantine & Throttling of AI Interactions,"Implement mechanisms to automatically or manually isolate, rate-limit, or place into a restricted \""safe mode\"" specific AI system interactions when suspicious activity is detected. This could apply to individual user sessions, API keys, IP addresses, or even entire AI agent instances. The objective is to prevent potential attacks from fully executing, spreading, or causing significant harm by quickly containing or degrading the capabilities of the suspicious entity. This is an active response measure triggered by detection systems."
isolate.js,Isolate,Technique,,AID-I-004,Agent Memory & State Isolation,"Specifically for agentic AI systems, implement mechanisms to isolate and manage the agent's memory (e.g., conversational context, short-term state, knowledge retrieved from vector databases) and periodically reset or flush it. This defense aims to prevent malicious instructions, poisoned data, or exploited states (e.g., a \""jailbroken\"" state) from persisting across multiple interactions, sessions, or from affecting other unrelated agent tasks or instances. It helps to limit the temporal scope of a successful manipulation."
isolate.js,Isolate,Technique,,AID-I-005,"Emergency ""Kill-Switch"" / AI System Halt","Establish and maintain a reliable, rapidly invokable mechanism to immediately halt, disable, or severely restrict the operation of an AI model or autonomous agent if it exhibits confirmed critical malicious behavior, goes \""rogue\"" (acts far outside its intended parameters in a harmful way), or if a severe, ongoing attack is detected and other containment measures are insufficient. This is a last-resort containment measure designed to prevent catastrophic harm or further compromise."
isolate.js,Isolate,Technique,,AID-I-006,Malicious Participant Isolation in Federated Unlearning,"Identifies and logically isolates the influence of malicious clients within a Federated Learning (FL) system, particularly during a machine unlearning or model restoration process. Once identified, the malicious participants' data contributions and model updates are excluded from the unlearning or retraining calculations. This technique is critical for preventing attackers from sabotaging the model recovery process and ensuring the final restored model is not corrupted."
isolate.js,Isolate,Technique,,AID-I-007,Client-Side AI Execution Isolation,"This technique focuses on containing a compromised or malicious client-side model, preventing it from accessing sensitive data from other browser tabs, the underlying operating system, or other applications on the user's device. It addresses the unique security challenges of AI models that execute in untrusted environments like a user's web browser or mobile application. The goal is to ensure that even if a model is compromised, its impact is strictly confined to its own sandbox."
isolate.js,Isolate,SubTechnique,AID-I-001,AID-I-001.001,Container-Based Isolation,Utilizes container technologies like Docker or Kubernetes to package and run AI workloads in isolated user-space environments. This approach provides process and filesystem isolation and allows for resource management and network segmentation.
isolate.js,Isolate,SubTechnique,AID-I-001,AID-I-001.002,MicroVM & Low-Level Sandboxing,Employs lightweight Virtual Machines (MicroVMs) or kernel-level sandboxing technologies to provide a stronger isolation boundary than traditional containers. This is critical for running untrusted code or highly sensitive AI workloads.
isolate.js,Isolate,SubTechnique,AID-I-001,AID-I-001.003,Ephemeral Single-Use Sandboxes for Tools,"Run tool executions inside strongly isolated, single-use sandboxes (e.g., microVMs). Destroy the environment immediately after one invocation to prevent persistence and cross-session contamination."
isolate.js,Isolate,SubTechnique,AID-I-001,AID-I-001.004,Seccomp-bpf & Network Egress Restrictions,Minimize kernel/system call surface and restrict outbound network destinations for sandboxed executions to reduce post-exploitation blast radius.
isolate.js,Isolate,SubTechnique,AID-I-001,AID-I-001.005,Pre-Execution Behavioral Analysis in Ephemeral Sandboxes,"This proactive defense technique subjects any AI-generated executable artifact (e.g., scripts, binaries, container images created by an agent) to mandatory behavioral analysis within a short-lived, strongly isolated sandbox (such as a microVM) *before* it is deployed or executed in a production context. This pre-execution security gate applies to artifacts originating from both automated CI/CD pipelines and interactive developer IDEs, serving as a final vetting step to contain threats from malicious AI-generated code before they can have any impact."
model.js,Model,Technique,,AID-M-001,AI Asset Inventory & Mapping,"Systematically catalog and map all AI/ML assets, including models (categorized by type, version, deployment location, and ownership), datasets (training, validation, testing, and operational), data pipelines, and APIs. This process includes mapping their configurations, data flows (sources, transformations, destinations), and interdependencies (e.g., reliance on third-party APIs, upstream data providers, or specific libraries). The goal is to achieve comprehensive visibility into all components that constitute the AI ecosystem and require protection. This technique is foundational as it underpins the ability to apply targeted security controls and assess risk accurately."
model.js,Model,Technique,,AID-M-002,Data Provenance & Lineage Tracking,"Establish and maintain verifiable records of the origin, history, and transformations of data used in AI systems, particularly training and fine-tuning data. This includes tracking model updates and their associated data versions. The objective is to ensure the trustworthiness and integrity of data and models by knowing their complete lifecycle, from source to deployment, and to facilitate auditing and incident investigation. This often involves cryptographic methods like signing or checksumming datasets and subunits and models at critical stages."
model.js,Model,Technique,,AID-M-003,Model Behavior Baseline & Documentation,"Establish, document, and maintain a comprehensive baseline of expected AI model behavior. This includes defining its intended purpose, architectural details, training data characteristics, operational assumptions, limitations, and key performance metrics (e.g., accuracy, precision, recall, output distributions, latency, confidence scores) under normal conditions. This documentation, often in the form of model cards, and the established behavioral baseline serve as a reference to detect anomalies, drift, or unexpected outputs that might indicate an attack or system degradation, and to inform risk assessments and incident response."
model.js,Model,Technique,,AID-M-004,AI Threat Modeling & Risk Assessment,"Systematically identify, analyze, and prioritize potential AI-specific threats and vulnerabilities for each AI component (e.g., data, models, algorithms, pipelines, agentic capabilities, APIs) throughout its lifecycle. This process involves understanding how an adversary might attack the AI system and assessing the potential impact of such attacks. The outcomes guide the design of appropriate defensive measures and inform risk management strategies. This proactive approach is essential for building resilient AI systems."
model.js,Model,Technique,,AID-M-005,AI Configuration Benchmarking & Secure Baselines,"Establish, document, maintain, and regularly audit secure configurations for all components of AI systems. This includes the underlying infrastructure (cloud instances, GPU clusters, networks), ML libraries and frameworks, agent runtimes, MLOps pipelines, and specific settings within AI platform APIs (e.g., LLM function access). Configurations are benchmarked against industry standards (e.g., CIS Benchmarks, NIST SSDF), vendor guidance, and internal security policies to identify and remediate misconfigurations that could be exploited by attackers."
model.js,Model,Technique,,AID-M-006,Human-in-the-Loop (HITL) Control Point Mapping,"Systematically identify, document, map, and validate all designed human intervention, oversight, and control points within AI systems. This is especially critical for agentic AI and systems capable of high-impact autonomous decision-making. The process includes defining the triggers, procedures, required operator training, and authority levels for human review, override, or emergency system halt. The goal is to ensure that human control can be effectively, safely, and reliably exercised when automated defenses fail, novel threats emerge, or ethical boundaries are approached."
model.js,Model,Technique,,AID-M-007,AI Use Case & Safety Boundary Modeling,"This technique involves the formal, technical documentation and validation of an AI system's intended purpose, operational boundaries, and ethical guardrails. It translates abstract governance policies into concrete, machine-readable artifacts and automated tests that model the system's safety posture. The goal is to proactively define and enforce the AI's scope of acceptable use, assess it for fairness and bias, and analyze its potential for misuse, creating a verifiable record for security, compliance, and responsible AI assurance. This serves as the business and ethical context counterpart to the technical threat model (AID-M-004)."
model.js,Model,SubTechnique,AID-M-001,AID-M-001.001,AI Component & Infrastructure Inventory,"Systematically catalogs all AI/ML assets, including models (categorized by type, version, and ownership), datasets, software components, and the specialized hardware they run on (e.g., GPUs, TPUs). This technique focuses on creating a dynamic, up-to-date inventory to provide comprehensive visibility into all components that constitute the AI ecosystem, which is a prerequisite for accurate risk assessment and the application of targeted security controls."
model.js,Model,SubTechnique,AID-M-001,AID-M-001.002,AI System Dependency Mapping,"Systematically identifies and documents all components and services that an AI system depends on to function correctly. This includes direct software libraries, transitive dependencies, external data sources, third-party APIs, and other internal AI models or microservices. This dependency map is crucial for understanding the complete supply chain attack surface and for performing comprehensive security assessments."
model.js,Model,SubTechnique,AID-M-002,AID-M-002.001,Data & Artifact Versioning,"Implements systems and processes to version control datasets and model artifacts, treating them with the same rigor as source code. By tracking every version of a data file and linking it to specific code commits, this technique ensures perfect reproducibility, provides an auditable history of changes, and enables rapid rollbacks to a known-good state, which is critical for recovering from data corruption or poisoning incidents."
model.js,Model,SubTechnique,AID-M-002,AID-M-002.002,Cryptographic Integrity Verification,"Employs cryptographic hashing and digital signatures to create and verify a tamper-evident chain of custody for AI artifacts. This technique ensures that datasets, models, and other critical files are authentic and have not been altered or corrupted at any point in their lifecycle, from creation and storage to deployment and use. It provides a strong mathematical guarantee of artifact integrity."
model.js,Model,SubTechnique,AID-M-002,AID-M-002.003,Third-Party Data Vetting,"Implements a formal, security-focused process for onboarding any external or third-party datasets. This technique involves a combination of procedural checks (source reputation, licensing) and technical scans (PII detection, integrity verification, statistical profiling) to identify and mitigate risks before untrusted data is introduced into the organization's AI ecosystem."
model.js,Model,SubTechnique,AID-M-003,AID-M-003.001,Model Card & Datasheet Generation,"A systematic process of creating and maintaining standardized documentation for AI models (Model Cards) and datasets (Datasheets). This documentation captures crucial metadata, including the model's intended use cases, limitations, performance metrics, fairness evaluations, ethical considerations, and details about the data's provenance and characteristics. This ensures transparency, enables responsible governance, and provides a foundational reference for security audits and risk assessments."
model.js,Model,SubTechnique,AID-M-003,AID-M-003.002,Performance & Operational Metric Baselining,"Establishes a quantitative, empirical baseline of a model's expected behavior under normal conditions. This involves calculating and recording two types of metrics: 1) key performance indicators (e.g., accuracy, precision, F1-score) on a trusted, 'golden' dataset, and 2) operational metrics (e.g., inference latency, confidence scores, output distributions) derived from simulated or live traffic. This documented baseline serves as the ground truth for drift detection, anomaly detection, and ongoing performance monitoring."
model.js,Model,SubTechnique,AID-M-003,AID-M-003.003,Explainability (XAI) Output Baselining,"Establishes a baseline of normal or expected outputs from eXplainable AI (XAI) methods for a given AI model. By generating and documenting typical explanations (e.g., feature attributions, decision rules) for a diverse set of known, benign inputs, this technique creates a reference point to detect future anomalies. A significant deviation from this baseline can indicate that an attacker is attempting to manipulate or mislead the explanation method itself to conceal malicious activity, as investigated by AID-D-006."
model.js,Model,SubTechnique,AID-M-003,AID-M-003.004,Agent Goal & Mission Baselining,"Specifically for autonomous or agentic AI, this technique involves formally defining, documenting, and cryptographically signing the agent's core mission, objectives, operational constraints, and goal hierarchy. This signed 'mission directive' serves as a trusted, immutable baseline. It is a critical prerequisite for runtime monitoring systems (like AID-D-010) to detect goal manipulation, unauthorized deviations, or emergent behaviors that contradict the agent's intended purpose."
model.js,Model,SubTechnique,AID-M-003,AID-M-003.005,Generative Model Inversion for Anomaly Pre-screening,"Utilizes a generative model (e.g., a Generative Adversarial Network - GAN) to establish a baseline of 'normal' data characteristics. An input, such as an image, is projected into the model's latent space to find a vector that best reconstructs the input. A high reconstruction error suggests the input is anomalous, out-of-distribution, or potentially a synthetic deepfake not created by a similar generative process. This technique models the expected data fidelity to pre-screen inputs for potential threats."
model.js,Model,SubTechnique,AID-M-003,AID-M-003.006,Graph Energy Analysis for GNN Robustness,"Utilizes metrics derived from a graph's adjacency matrix, such as graph subspace energy, as a quantifiable indicator of a Graph Neural Network's (GNN) robustness to adversarial topology perturbations. By modeling and baselining these structural properties, this technique can guide the development of more inherently resilient GNNs, for instance, by enhancing adversarial training to generate perturbations that are not only effective but also structurally significant according to the energy metric."
model.js,Model,SubTechnique,AID-M-003,AID-M-003.007,Self-Supervised Discrepancy Analysis for GNN Backdoor Defense,"Employs self-supervised learning to train an auxiliary Graph Neural Network (GNN) model that learns the intrinsic semantic information and attribute importance of nodes without using potentially poisoned labels. This process creates a trusted baseline model of 'normal' node characteristics. This baseline is then used as a reference to detect discrepancies—such as semantic drift or attribute over-emphasis—in a primary GNN trained on the potentially compromised data, which is a foundational step for identifying and mitigating backdoor attacks."
model.js,Model,SubTechnique,AID-M-005,AID-M-005.001,Design - Secure Configuration Baseline Development,"Covers the 'design' phase of creating and documenting secure, hardened templates and configurations for all AI system components, based on industry benchmarks. This proactive technique involves defining 'golden standard' configurations for infrastructure, containers, and AI platforms to ensure that systems are secure by default, systematically reducing the attack surface by eliminating common misconfigurations before deployment."
model.js,Model,SubTechnique,AID-M-005,AID-M-005.002,Pre-Deployment - Infrastructure as Code (IaC) Security Scanning,"Covers the 'pre-deployment' phase of automatically scanning Infrastructure as Code (IaC) files (e.g., Terraform, CloudFormation, Bicep, Kubernetes YAML) in the CI/CD pipeline. This 'shift-left' security practice aims to detect and block security misconfigurations, policy violations, and hardcoded secrets before insecure infrastructure is ever provisioned in a live environment."
model.js,Model,SubTechnique,AID-M-005,AID-M-005.003,Post-Deployment - Configuration Drift & Posture Monitoring,Covers the 'post-deployment' phase of using Cloud Security Posture Management (CSPM) tools and custom scripts to continuously monitor live cloud environments. This technique aims to detect and alert on 'configuration drift'—unauthorized or accidental changes that cause a system to deviate from its established secure baseline—providing a real-time view of the security posture for all AI system components.
model.js,Model,SubTechnique,AID-M-006,AID-M-006.001,HITL Checkpoint Design & Documentation,"This sub-technique covers the initial development phase of implementing Human-in-the-Loop controls. It involves formally defining the specific triggers that require human intervention in code and configuration, implementing the technical hooks for the AI agent to pause and await a decision, and creating the clear Standard Operating Procedures (SOPs) that operators will follow when an intervention is required."
model.js,Model,SubTechnique,AID-M-006,AID-M-006.002,HITL Operator Training & Readiness Testing,"Covers the human and procedural readiness aspects of a Human-in-the-Loop (HITL) system. This technique involves developing comprehensive training programs and running simulated emergency scenarios ('fire drills') for human operators. It also includes regularly auditing and testing the technical HITL mechanisms to ensure both operator preparedness and end-to-end functionality, confirming that human control can be asserted effectively and reliably when needed."
model.js,Model,SubTechnique,AID-M-006,AID-M-006.003,HITL Escalation & Activity Monitoring,"Covers the live operational and security aspects of a Human-in-the-Loop (HITL) system. This technique involves defining and implementing the technical escalation paths for undecided or unhandled intervention requests and ensuring that all HITL activations, operator decisions, and system responses are securely logged. This provides a comprehensive audit trail for forensic analysis and real-time monitoring to detect anomalous operator behavior or high-frequency intervention events."
